date	time_pretty	millions_gallons_per_day
2018-09-08	18:00:00	2.609711
2018-09-08	18:05:00	2.633361
2018-09-08	18:10:00	2.840149
2018-09-08	18:15:00	2.64831
2018-09-08	18:20:00	2.709519
2018-09-08	18:25:00	3.201118
2018-09-08	18:30:00	2.888087
2018-09-08	18:35:00	2.701815
2018-09-08	18:40:00	2.982049
2018-09-08	18:45:00	3.148037
2018-09-08	18:50:00	2.919724
2018-09-08	18:55:00	3.377468
2018-09-08	19:00:00	3.475001
2018-09-08	19:05:00	3.748461
2018-09-08	19:10:00	3.537822
2018-09-08	19:15:00	3.527779
2018-09-08	19:20:00	3.693703
2018-09-08	19:25:00	3.709801
2018-09-08	19:30:00	3.533051
2018-09-08	19:35:00	3.570995
2018-09-08	19:40:00	3.608336
2018-09-08	19:45:00	3.394145
2018-09-08	19:50:00	3.009517
2018-09-08	19:55:00	2.546534
2018-09-08	20:00:00	2.635439
2018-09-08	20:05:00	2.402403
2018-09-08	20:10:00	2.331648
2018-09-08	20:15:00	2.664949
2018-09-08	20:20:00	2.3929
2018-09-08	20:25:00	2.607581
2018-09-08	20:30:00	2.862066
2018-09-08	20:35:00	2.729975
2018-09-08	20:40:00	3.064428
2018-09-08	20:45:00	3.022466
2018-09-08	20:50:00	2.912964
2018-09-08	20:55:00	2.979311
2018-09-08	21:00:00	2.984447
2018-09-08	21:05:00	2.793054
2018-09-08	21:10:00	2.588654
2018-09-08	21:15:00	3.195846
2018-09-08	21:20:00	3.389547
2018-09-08	21:25:00	3.679505
2018-09-08	21:30:00	3.678258
2018-09-08	21:35:00	3.584163
2018-09-08	21:40:00	3.241377
2018-09-08	21:45:00	2.995668
2018-09-08	21:50:00	2.654466
2018-09-08	21:55:00	2.864372
2018-09-08	22:00:00	2.799612
2018-09-08	22:05:00	2.630889
2018-09-08	22:10:00	2.815938
2018-09-08	22:15:00	2.799137
2018-09-08	22:20:00	2.406177
2018-09-08	22:25:00	2.450106
2018-09-08	22:30:00	2.75375
2018-09-08	22:35:00	2.830449
2018-09-08	22:40:00	2.761588
2018-09-08	22:45:00	2.687601
2018-09-08	22:50:00	2.8296230000000002
2018-09-08	22:55:00	2.375803
2018-09-08	23:00:00	2.518902
2018-09-08	23:05:00	2.781167
2018-09-08	23:10:00	2.636772
2018-09-08	23:15:00	2.368009
2018-09-08	23:20:00	2.890727
2018-09-08	23:25:00	2.747976
2018-09-08	23:30:00	3.166793
2018-09-08	23:35:00	2.977244
2018-09-08	23:40:00	2.467392
2018-09-08	23:45:00	2.285516
2018-09-08	23:50:00	2.155838
2018-09-08	23:55:00	2.327052
2018-09-09	00:00:00	2.086208
