metabolite_number,metabolite_name,ULOQ_ng_mL,LLOQ_ng_mL,barcode,time,run,location,sample_id,sample_id2,value,TimeStamp,FlowRate,
84,Tramadol,20,0.05,2418,10:00,1,1,Prior UFWW 22,FB08SEP18 10:00 Loc#1,NA,1536444000,2.8,
84,Tramadol,20,0.05,2418,10:00,2,1,UFWW 22,FB08SEP18 10:00 Loc#1,NA,1536444000,2.8,
84,Tramadol,20,0.05,2396,10:00,1,2,Prior UFWW 23,FB08SEP18 10:00 Loc#2,0.250,1536444000,2.8,
84,Tramadol,20,0.05,2396,10:00,2,2,UFWW 23,FB08SEP18 10:00 Loc#2,NA,1536444000,2.8,
84,Tramadol,20,0.05,2407,10:00,1,3,Prior UFWW 24,FB08SEP18 10:00 Loc#3,1.860,1536444000,2.8,
84,Tramadol,20,0.05,2407,10:00,2,3,UFWW 24,FB08SEP18 10:00 Loc#3,2.227,1536444000,2.8,
84,Tramadol,20,0.05,2416,10:30,1,1,Prior UFWW 25,FB08SEP18 10:30 Loc#1,6.040,1536445800,2.75,
84,Tramadol,20,0.05,2416,10:30,2,1,UFWW 25,FB08SEP18 10:30 Loc#1,5.733,1536445800,2.75,
84,Tramadol,20,0.05,2399,10:30,1,2,Prior UFWW 26,FB08SEP18 10:30 Loc#2,NA,1536445800,2.75,
84,Tramadol,20,0.05,2399,10:30,2,2,UFWW 26,FB08SEP18 10:30 Loc#2,NA,1536445800,2.75,
84,Tramadol,20,0.05,2408,10:30,1,3,Prior UFWW 27,FB08SEP18 10:30 Loc#3,NA,1536445800,2.75,
84,Tramadol,20,0.05,2408,10:30,2,3,UFWW 27,FB08SEP18 10:30 Loc#3,0.431,1536445800,2.75,
84,Tramadol,20,0.05,2414,11:00,1,1,Prior UFWW 28,FB08SEP18 11:00 Loc#1,0.080,1536447600,2.52,
84,Tramadol,20,0.05,2414,11:00,2,1,UFWW 28,FB08SEP18 11:00 Loc#1,NA,1536447600,2.52,
84,Tramadol,20,0.05,2397,11:00,1,2,Prior UFWW 29,FB08SEP18 11:00 Loc#2,2.580,1536447600,2.52,
84,Tramadol,20,0.05,2397,11:00,2,2,UFWW 29,FB08SEP18 11:00 Loc#2,2.912,1536447600,2.52,
84,Tramadol,20,0.05,2409,11:00,1,3,Prior UFWW 30,FB08SEP18 11:00 Loc#3,7.370,1536447600,2.52,
84,Tramadol,20,0.05,2409,11:00,2,3,UFWW 30,FB08SEP18 11:00 Loc#3,9.207,1536447600,2.52,
84,Tramadol,20,0.05,2412,11:30,1,1,Prior  UFWW 31,FB08SEP18 11:30 Loc#1,0.110,1536449400,3.17,
84,Tramadol,20,0.05,2412,11:30,2,1,UFWW 31,FB08SEP18 11:30 Loc#1,NA,1536449400,3.17,
84,Tramadol,20,0.05,2398,11:30,1,2,Prior UFWW 32,FB08SEP18 11:30 Loc#2,0.210,1536449400,3.17,
84,Tramadol,20,0.05,2398,11:30,2,2,UFWW 32,FB08SEP18 11:30 Loc#2,0.351,1536449400,3.17,
84,Tramadol,20,0.05,2410,11:30,1,3,Prior UFWW 33,FB08SEP18 11:30 Loc#3,0.980,1536449400,3.17,
84,Tramadol,20,0.05,2410,11:30,2,3,UFWW 33,FB08SEP18 11:30 Loc#3,1.378,1536449400,3.17,
84,Tramadol,20,0.05,2411,6:30,1,1,Prior UFWW 1,FB08SEP18 6:30 Loc#1,NA,1536431400,2.89,
84,Tramadol,20,0.05,2411,6:30,2,1,UFWW 1,FB08SEP18 6:30 Loc#1,NA,1536431400,2.89,
84,Tramadol,20,0.05,2389,6:30,1,2,Prior UFWW 2,FB08SEP18 6:30 Loc#2,0.950,1536431400,2.89,
84,Tramadol,20,0.05,2389,6:30,2,2,UFWW 2,FB08SEP18 6:30 Loc#2,NA,1536431400,2.89,
84,Tramadol,20,0.05,2400,6:30,1,3,Prior UFWW 3,FB08SEP18 6:30 Loc#3,2.880,1536431400,2.89,
84,Tramadol,20,0.05,2400,6:30,2,3,UFWW 3,FB08SEP18 6:30 Loc#3,NA,1536431400,2.89,
84,Tramadol,20,0.05,2419,7:00,1,1,Prior UFWW 4,FB08SEP18 7:00 Loc#1,NA,1536433200,3.48,
84,Tramadol,20,0.05,2419,7:00,2,1,UFWW 4,FB08SEP18 7:00 Loc#1,NA,1536433200,3.48,
84,Tramadol,20,0.05,2390,7:00,1,2,Prior UFWW 5,FB08SEP18 7:00 Loc#2,NA,1536433200,3.48,
84,Tramadol,20,0.05,2390,7:00,2,2,UFWW 5,FB08SEP18 7:00 Loc#2,NA,1536433200,3.48,
84,Tramadol,20,0.05,2401,7:00,1,3,Prior UFWW 6,FB08SEP18 7:00 Loc#3,3.450,1536433200,3.48,
84,Tramadol,20,0.05,2401,7:00,2,3,UFWW 6,FB08SEP18 7:00 Loc#3,4.570,1536433200,3.48,
84,Tramadol,20,0.05,2073,7:30,1,1,Prior UFWW 7,FB08SEP18 7:30 Loc#1,1.490,1536435000,3.53,
84,Tramadol,20,0.05,2073,7:30,2,1,UFWW 7,FB08SEP18 7:30 Loc#1,1.915,1536435000,3.53,
84,Tramadol,20,0.05,2391,7:30,1,2,Prior UFWW 8,FB08SEP18 7:30 Loc#2,0.210,1536435000,3.53,
84,Tramadol,20,0.05,2391,7:30,2,2,UFWW 8,FB08SEP18 7:30 Loc#2,NA,1536435000,3.53,
84,Tramadol,20,0.05,2402,7:30,1,3,Prior UFWW 9,FB08SEP18 7:30 Loc#3,NA,1536435000,3.53,
84,Tramadol,20,0.05,2402,7:30,2,3,UFWW 9,FB08SEP18 7:30 Loc#3,NA,1536435000,3.53,
84,Tramadol,20,0.05,2415,8:00,1,1,Prior UFWW 10,FB08SEP18 8:00 Loc#1,2.490,1536436800,2.64,
84,Tramadol,20,0.05,2415,8:00,2,1,UFWW 10,FB08SEP18 8:00 Loc#1,2.360,1536436800,2.64,
84,Tramadol,20,0.05,2392,8:00,1,2,Prior UFWW 11,FB08SEP18 8:00 Loc#2,2.070,1536436800,2.64,
84,Tramadol,20,0.05,2392,8:00,2,2,UFWW 11,FB08SEP18 8:00 Loc#2,3.428,1536436800,2.64,
84,Tramadol,20,0.05,2403,8:00,1,3,Prior UFWW 12,FB08SEP18 8:00 Loc#3,0.110,1536436800,2.64,
84,Tramadol,20,0.05,2403,8:00,2,3,UFWW 12,FB08SEP18 8:00 Loc#3,NA,1536436800,2.64,
84,Tramadol,20,0.05,2413,8:30,1,1,Prior UFWW 13,FB08SEP18 8:30 Loc#1,13.900,1536438600,2.86,
84,Tramadol,20,0.05,2413,8:30,2,1,UFWW 13,FB08SEP18 8:30 Loc#1,14.966,1536438600,2.86,
84,Tramadol,20,0.05,2393,8:30,1,2,Prior UFWW 14,FB08SEP18 8:30 Loc#2,4.060,1536438600,2.86,
84,Tramadol,20,0.05,2393,8:30,2,2,UFWW 14,FB08SEP18 8:30 Loc#2,5.424,1536438600,2.86,
84,Tramadol,20,0.05,2404,8:30,1,3,Prior UFWW 15,FB08SEP18 8:30 Loc#3,2.170,1536438600,2.86,
84,Tramadol,20,0.05,2404,8:30,2,3,UFWW 15,FB08SEP18 8:30 Loc#3,0.997,1536438600,2.86,
84,Tramadol,20,0.05,2421,9:00,1,1,Prior UFWW 16,FB08SEP18 9:00 Loc#1,0.380,1536440400,2.98,
84,Tramadol,20,0.05,2421,9:00,2,1,UFWW 16,FB08SEP18 9:00 Loc#1,NA,1536440400,2.98,
84,Tramadol,20,0.05,2394,9:00,1,2,Prior UFWW 17,FB08SEP18 9:00 Loc#2,0.220,1536440400,2.98,
84,Tramadol,20,0.05,2394,9:00,2,2,UFWW 17,FB08SEP18 9:00 Loc#2,0.272,1536440400,2.98,
84,Tramadol,20,0.05,2405,9:00,1,3,Prior UFWW 18,FB08SEP18 9:00 Loc#3,0.610,1536440400,2.98,
84,Tramadol,20,0.05,2405,9:00,2,3,UFWW 18,FB08SEP18 9:00 Loc#3,0.651,1536440400,2.98,
84,Tramadol,20,0.05,2420,9:30,1,1,Prior UFWW 19,FB08SEP18 9:30 Loc#1,0.250,1536442200,3.68,
84,Tramadol,20,0.05,2420,9:30,2,1,UFWW 19,FB08SEP18 9:30 Loc#1,NA,1536442200,3.68,
84,Tramadol,20,0.05,2395,9:30,1,2,Prior UFWW 20,FB08SEP18 9:30 Loc#2,0.720,1536442200,3.68,
84,Tramadol,20,0.05,2395,9:30,2,2,UFWW 20,FB08SEP18 9:30 Loc#2,0.634,1536442200,3.68,
84,Tramadol,20,0.05,2406,9:30,1,3,Prior UFWW 21,FB08SEP18 9:30 Loc#3,0.480,1536442200,3.68,
84,Tramadol,20,0.05,2406,9:30,2,3,UFWW 21,FB08SEP18 9:30 Loc#3,NA,1536442200,3.68,
