metabolite	uloq	lloq	value	date	time_pretty	location	below_lloq	above_uloq	extraction	machine
6-MAM	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
7-Aminoclonazepam	5	0.05	0.134	FB08SEP18	6:30	1	0	0	austin	shimadzu
7-Aminoflunitrazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
α-Hydroxyalprazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
α-Hydroxytriazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Alprazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Amphetamine	5	0.05	0.322	FB08SEP18	6:30	1	0	0	austin	shimadzu
Benzoylecgonine	20	0.05	1.307	FB08SEP18	6:30	1	0	0	austin	shimadzu
Buprenorphine	20	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Carfentanil	10	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Carisoprodol	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Cocaine	20	0.15	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Codeine	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Cyclobenzaprine	20	1.25	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Desalkylflurazepam	2.5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Diazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
EDDP	10	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Fentanyl	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Flunitrazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Flurazepam	20	1.25	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Hydrocodone	2.5	0.05	0.368	FB08SEP18	6:30	1	0	0	austin	shimadzu
Hydromorphone	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Ketamine	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Lorazepam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
MDMA	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Meperidine	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Meprobamate	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Methadone	20	2.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Methamphetamine	20	0.15	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Methylphenidate	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Midazolam	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Morphine	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Naloxone	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Naltrexone	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Norbuprenorphine	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Norcarfentanil	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Nordiazepam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Norfentanyl	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Norhydrocodone	5	0.05	0.231	FB08SEP18	6:30	1	0	0	austin	shimadzu
Normeperidine	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Noroxycodone	5	0.05	0.103	FB08SEP18	6:30	1	0	0	austin	shimadzu
O-Desmethyltramadol	10	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Oxazepam	2.5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Oxycodone	20	0.05	0.152	FB08SEP18	6:30	1	0	0	austin	shimadzu
Oxymorphone	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
PCP	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Phentermine	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Propoxyphene	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Pseudoephedrine	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Sufentanil	10	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Tapentadol	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Temazepam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Tramadol	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Trazodone	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Triazolam	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
Zolpidem	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	shimadzu
6-MAM	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
7-Aminoclonazepam	5	0.05	0.05	FB08SEP18	6:30	1	0	0	austin	waters
7-Aminoflunitrazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
α-Hydroxyalprazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
α-Hydroxytriazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Alprazolam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Amphetamine	5	0.05	0.357	FB08SEP18	6:30	1	0	0	austin	waters
Benzoylecgonine	20	0.05	1.248	FB08SEP18	6:30	1	0	0	austin	waters
Buprenorphine	20	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Carfentanil	10	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Carisoprodol	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Cocaine	20	0.15	0.239	FB08SEP18	6:30	1	0	0	austin	waters
Codeine	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Cyclobenzaprine	20	1.25	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Desalkylflurazepam	2.5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Diazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
EDDP	10	0.75	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Fentanyl	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Flunitrazepam	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Flurazepam	20	1.25	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Hydrocodone	2.5	0.05	0.318	FB08SEP18	6:30	1	0	0	austin	waters
Hydromorphone	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Ketamine	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Lorazepam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
MDMA	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Meperidine	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Meprobamate	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Methadone	20	2.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Methamphetamine	20	0.15	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Methylphenidate	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Midazolam	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Morphine	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Naloxone	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Naltrexone	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Norbuprenorphine	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Norcarfentanil	10	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Nordiazepam	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Norfentanyl	5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Norhydrocodone	5	0.05	0.432	FB08SEP18	6:30	1	0	0	austin	waters
Normeperidine	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Noroxycodone	5	0.05	0.186	FB08SEP18	6:30	1	0	0	austin	waters
O-Desmethyltramadol	10	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Oxazepam	2.5	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Oxycodone	20	0.05	0.126	FB08SEP18	6:30	1	0	0	austin	waters
Oxymorphone	20	0.05	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
PCP	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Phentermine	5	0.05	0.989	FB08SEP18	6:30	1	0	0	austin	waters
Propoxyphene	20	0.5	NA	FB08SEP18	6:30	1	NA	NA	austin	waters
Pseudoephedrine	20	0.05	14.679	FB08SEP18	6:30	1	0	0	austin	waters
