metabolite	uloq	lloq	value	date	time_pretty	location	below_lloq	above_uloq	extraction	machine	metabolite_group
Propoxyphene	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Anesthetic
Phentermine	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Alprazolam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Desalkylflurazepam	2.5	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Diazepam	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Flurazepam	20.0	1.25		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Lorazepam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Midazolam	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Nordiazepam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Oxazepam	2.5	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Temazepam	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Benzodiazepine
Pseudoephedrine	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Decongestant
Flunitrazepam	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Hynotics
Carisoprodol	10.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Muscle Relaxant
Cyclobenzaprine	20.0	1.25		FB08SEP18	10:00	1			austin	Shimadzu	Muscle Relaxant
6-MAM	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Carfentanil	10.0	0.75		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Codeine	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
EDDP	10.0	0.75		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Fentanyl	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Morphine	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Naloxone	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Norbuprenorphine	10.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Norcarfentanil	10.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Norfentanyl	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Norhydrocodone	5.0	0.05	0.034	FB08SEP18	10:00	1	1.0	0.0	austin	Shimadzu	Narcotic
Normeperidine	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Noroxycodone	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
O-Desmethyltramadol	10.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Oxycodone	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Oxymorphone	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Sufentanil	10.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Tapentadol	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Tramadol	20.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Narcotic
Buprenorphine	20.0	0.75		FB08SEP18	10:00	1			austin	Shimadzu	Opioid
Hydrocodone	2.5	0.05	0.42100000000000004	FB08SEP18	10:00	1	0.0	0.0	austin	Shimadzu	Opioid
Hydromorphone	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Opioid
Meperidine	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Opioid
Methadone	20.0	2.5		FB08SEP18	10:00	1			austin	Shimadzu	Opioid
Naltrexone	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Opioid
Trazodone	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Sedative
Triazolam	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Sedative
Zolpidem	20.0	0.5		FB08SEP18	10:00	1			austin	Shimadzu	Sedative
Amphetamine	5.0	0.05	1.7380000000000002	FB08SEP18	10:00	1	0.0	0.0	austin	Shimadzu	Stimulant
Benzoylecgonine	20.0	0.05	0.547	FB08SEP18	10:00	1	0.0	0.0	austin	Shimadzu	Stimulant
Cocaine	20.0	0.15		FB08SEP18	10:00	1			austin	Shimadzu	Stimulant
MDMA	10.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Stimulant
Methamphetamine	20.0	0.15		FB08SEP18	10:00	1			austin	Shimadzu	Stimulant
Methylphenidate	5.0	0.05		FB08SEP18	10:00	1			austin	Shimadzu	Stimulant
Propoxyphene	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05	0.179	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Anesthetic
Phentermine	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5	0.065	FB08SEP18	10:00	2	1.0	0.0	austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Alprazolam	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Desalkylflurazepam	2.5	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Diazepam	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Flurazepam	20.0	1.25		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Lorazepam	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Midazolam	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Nordiazepam	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Oxazepam	2.5	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Benzodiazepine
Temazepam	20.0	0.05	0.314	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Benzodiazepine
Pseudoephedrine	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Decongestant
Flunitrazepam	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Hynotics
Carisoprodol	10.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Muscle Relaxant
Cyclobenzaprine	20.0	1.25		FB08SEP18	10:00	2			austin	Shimadzu	Muscle Relaxant
6-MAM	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Carfentanil	10.0	0.75		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Codeine	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
EDDP	10.0	0.75		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Fentanyl	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Morphine	20.0	0.05	0.155	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Narcotic
Naloxone	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Norbuprenorphine	10.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Norcarfentanil	10.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Norfentanyl	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Norhydrocodone	5.0	0.05	0.07	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Narcotic
Normeperidine	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Noroxycodone	5.0	0.05	0.098	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Narcotic
O-Desmethyltramadol	10.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Oxycodone	20.0	0.05	0.21600000000000003	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Narcotic
Oxymorphone	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Sufentanil	10.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Tapentadol	20.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Narcotic
Tramadol	20.0	0.05	0.439	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Narcotic
Buprenorphine	20.0	0.75		FB08SEP18	10:00	2			austin	Shimadzu	Opioid
Hydrocodone	2.5	0.05	0.498	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Opioid
Hydromorphone	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Opioid
Meperidine	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Opioid
Methadone	20.0	2.5		FB08SEP18	10:00	2			austin	Shimadzu	Opioid
Naltrexone	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Opioid
Trazodone	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Sedative
Triazolam	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Sedative
Zolpidem	20.0	0.5		FB08SEP18	10:00	2			austin	Shimadzu	Sedative
Amphetamine	5.0	0.05	3.1239999999999997	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Stimulant
Benzoylecgonine	20.0	0.05	0.40700000000000003	FB08SEP18	10:00	2	0.0	0.0	austin	Shimadzu	Stimulant
Cocaine	20.0	0.15		FB08SEP18	10:00	2			austin	Shimadzu	Stimulant
MDMA	10.0	0.05	2.279	FB08SEP18	10:00	2	0.0	1.0	austin	Shimadzu	Stimulant
Methamphetamine	20.0	0.15		FB08SEP18	10:00	2			austin	Shimadzu	Stimulant
Methylphenidate	5.0	0.05		FB08SEP18	10:00	2			austin	Shimadzu	Stimulant
Propoxyphene	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Anesthetic
Phentermine	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Alprazolam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Desalkylflurazepam	2.5	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Diazepam	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Flurazepam	20.0	1.25		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Lorazepam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Midazolam	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Nordiazepam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Oxazepam	2.5	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Temazepam	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Benzodiazepine
Pseudoephedrine	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Decongestant
Flunitrazepam	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Hynotics
Carisoprodol	10.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Muscle Relaxant
Cyclobenzaprine	20.0	1.25		FB08SEP18	10:00	3			austin	Shimadzu	Muscle Relaxant
6-MAM	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Carfentanil	10.0	0.75		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Codeine	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
EDDP	10.0	0.75		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Fentanyl	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Morphine	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Naloxone	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Norbuprenorphine	10.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Norcarfentanil	10.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Norfentanyl	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Norhydrocodone	5.0	0.05	0.023	FB08SEP18	10:00	3	1.0	0.0	austin	Shimadzu	Narcotic
Normeperidine	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Noroxycodone	5.0	0.05	0.024	FB08SEP18	10:00	3	1.0	0.0	austin	Shimadzu	Narcotic
O-Desmethyltramadol	10.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Oxycodone	20.0	0.05	0.07400000000000001	FB08SEP18	10:00	3	0.0	0.0	austin	Shimadzu	Narcotic
Oxymorphone	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Sufentanil	10.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Tapentadol	20.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Narcotic
Tramadol	20.0	0.05	2.717	FB08SEP18	10:00	3	0.0	0.0	austin	Shimadzu	Narcotic
Buprenorphine	20.0	0.75		FB08SEP18	10:00	3			austin	Shimadzu	Opioid
Hydrocodone	2.5	0.05	0.209	FB08SEP18	10:00	3	0.0	0.0	austin	Shimadzu	Opioid
Hydromorphone	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Opioid
Meperidine	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Opioid
Methadone	20.0	2.5		FB08SEP18	10:00	3			austin	Shimadzu	Opioid
Naltrexone	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Opioid
Trazodone	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Sedative
Triazolam	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Sedative
Zolpidem	20.0	0.5		FB08SEP18	10:00	3			austin	Shimadzu	Sedative
Amphetamine	5.0	0.05	0.299	FB08SEP18	10:00	3	0.0	0.0	austin	Shimadzu	Stimulant
Benzoylecgonine	20.0	0.05	0.763	FB08SEP18	10:00	3	0.0	0.0	austin	Shimadzu	Stimulant
Cocaine	20.0	0.15		FB08SEP18	10:00	3			austin	Shimadzu	Stimulant
MDMA	10.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Stimulant
Methamphetamine	20.0	0.15		FB08SEP18	10:00	3			austin	Shimadzu	Stimulant
Methylphenidate	5.0	0.05		FB08SEP18	10:00	3			austin	Shimadzu	Stimulant
Propoxyphene	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Anesthetic
