metabolite	uloq	lloq	value	date	time_pretty	location	below_lloq	above_uloq	extraction	machine
Analgesic	20	0.5		FB08SEP18	10:00	1			austin	Shimadzu
Anesthetic	10	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Antidepressant and Sedative	20	0.5		FB08SEP18	10:00	1			austin	Shimadzu
Anxiolytic	20	0.5		FB08SEP18	10:00	1			austin	Shimadzu
Benzodiazepine	5	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	1			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:00	1			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	0.547	FB08SEP18	10:00	1	0	0	austin	Shimadzu
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	1			austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Metabolite of opioid	5	0.05	0.034	FB08SEP18	10:00	1	1	0	austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Narcotic	20	0.05		FB08SEP18	10:00	1			austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	1			austin	Shimadzu
Opioid	2.5	0.05	0.421	FB08SEP18	10:00	1	0	0	austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:00	1			austin	Shimadzu
Stimulant	5	0.05	1.738	FB08SEP18	10:00	1	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:00	2			austin	Shimadzu
Anesthetic	10	0.05	0.179	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Antidepressant and Sedative	20	0.5		FB08SEP18	10:00	2			austin	Shimadzu
Anxiolytic	20	0.5	0.065	FB08SEP18	10:00	2	1	0	austin	Shimadzu
Benzodiazepine	20	0.05	0.314	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	2			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:00	2			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05	2.279	FB08SEP18	10:00	2	0	1	austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	0.407	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	2			austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Metabolite of opioid	5	0.05	0.07	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:00	2			austin	Shimadzu
Narcotic	20	0.05	0.155	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	2			austin	Shimadzu
Opioid	2.5	0.05	0.498	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:00	2			austin	Shimadzu
Stimulant	5	0.05	3.124	FB08SEP18	10:00	2	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:00	3			austin	Shimadzu
Anesthetic	10	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:00	3			austin	Shimadzu
