"metabolite_number","metabolite_name","uloq_ng_ml","lloq_ng_ml","barcode","time","run","location","sample_id","sample_id2","value","timestamp","flowrate"
"1","6-MAM",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"2","7-Aminoclonazepam",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"4","7-Aminoflunitrazepam",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"9","Alprazolam",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"10","Amphetamine",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",2.09,"1536444000",2.8
"12","Benzoylecgonine",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",0.49,"1536444000",2.8
"14","Buprenorphine",20,0.75,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"16","Carfentanil",10,0.75,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"17","Carisoprodol",10,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"19","Cocaine",20,0.15,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",0.62,"1536444000",2.8
"21","Codeine",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"23","Cyclobenzaprine",20,1.25,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"25","Desalkylflurazepam",2.5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"26","Diazepam",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"28","EDDP",10,0.75,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"29","Fentanyl",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"31","Flunitrazepam",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"33","Flurazepam",20,1.25,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"34","Hydrocodone",2.5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",0.24,"1536444000",2.8
"35","Hydromorphone",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"40","Ketamine",10,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"41","Lorazepam",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"42","MDMA",10,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"43","Meperidine",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"45","Meprobamate",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"46","Methadone",20,2.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"48","Methamphetamine",20,0.15,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"50","Methylphenidate",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"51","Midazolam",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"53","Morphine",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"55","Naloxone",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"56","Naltrexone",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"57","Norbuprenorphine",10,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"58","Norcarfentanil",10,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"59","Nordiazepam",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"61","Norfentanyl",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"62","Norhydrocodone",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",0.09,"1536444000",2.8
"63","Normeperidine",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"65","Noroxycodone",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"66","O-Desmethyltramadol",10,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"67","Oxazepam",2.5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"68","Oxycodone",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"70","Oxymorphone",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"71","PCP",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"73","Phentermine",5,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",1.79,"1536444000",2.8
"74","Propoxyphene",20,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"76","Pseudoephedrine",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",1.42,"1536444000",2.8
"78","Sufentanil",10,0.5,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"82","Tapentadol",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"83","Temazepam",20,0.05,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
"79","THC",NA,NA,"2418","10:00",1,"1","Prior UFWW 22","FB08SEP18 10:00 Loc#1",NA,"1536444000",2.8
